i,k,value
0,0,145
0,1,129
0,2,134
0,3,146
0,4,150
1,0,148
1,1,145
1,2,136
1,3,125
1,4,142
2,0,142
2,1,129
2,2,128
2,3,126
2,4,125
3,0,143
3,1,144
3,2,137
3,3,142
3,4,142
4,0,127
4,1,134
4,2,131
4,3,148
4,4,148
5,0,148
5,1,136
5,2,131
5,3,138
5,4,145
6,0,141
6,1,129
6,2,130
6,3,130
6,4,132
7,0,144
7,1,133
7,2,131
7,3,128
7,4,130
8,0,146
8,1,150
8,2,143
8,3,126
8,4,149
9,0,142
9,1,139
9,2,145
9,3,142
9,4,127
10,0,134
10,1,146
10,2,127
10,3,133
10,4,128
11,0,131
11,1,148
11,2,143
11,3,140
11,4,135
